wbe;jahr;ant_ledig
301;2006;36.1
301;2007;36.3
301;2008;37.2
301;2009;37.1
301;2010;36.2
301;2011;36.1
301;2012;36.4
301;2013;35.5
301;2014;35.4
301;2015;35.7
302;2004;67.8
302;2005;67.2
302;2007;66.4
302;2008;63.2
302;2009;64.5
302;2010;65.3
302;2012;58.2
302;2013;58.2
302;2014;60.3
302;2015;62.1
302;2000;70.5
302;2001;70.1
302;2002;67.9
302;2003;67.8
302;2006;66.5
302;2011;65.1
